
2026-09-14T13:35:47,unlabeled,auth,http://127.0.0.1:8080/like/isLiked,1.00,8000,5526.0239,0.0116,0.0249,0.0287,8000,0
2026-09-14T13:37:40,after-video-cache,video,http://127.0.0.1:8080/video/getDetail,0.00,1,20110.8409,0.0030,0.0062,0.0537,8000,0
2026-09-14T13:37:54,after-video-cache-clean,video,http://127.0.0.1:8080/video/getDetail,0.00,1,21648.4481,0.0029,0.0064,0.0188,8000,0
2026-09-14T13:39:37,unlabeled,auth,http://127.0.0.1:8080/like/isLiked,1.00,8000,5975.4277,0.0103,0.0238,0.0277,8000,0
2026-09-14T13:51:42,before-following-cache,following,http://127.0.0.1:8080/feed/listByFollowing,1.00,8000,4054.8387,0.0192,0.0295,0.0371,8000,0,on
2026-09-14T13:53:21,after-following-cache,following,http://127.0.0.1:8080/feed/listByFollowing,0.00,31,5265.2966,0.0143,0.0260,0.0681,8000,0,on
2026-09-14T13:54:11,isolate-jwt,comments,http://127.0.0.1:8080/comment/listAll,2.00,8000,4137.2996,0.0188,0.0311,0.0359,4000,0,on
2026-09-14T13:54:13,isolate-jwt,auth,http://127.0.0.1:8080/like/isLiked,1.00,4000,4959.4669,0.0158,0.0226,0.0300,4000,0,on
2026-09-14T13:54:29,c1-following,following,http://127.0.0.1:8080/feed/listByFollowing,0.00,0,494.8269,0.0020,0.0024,0.0026,2000,0,on
2026-09-14T13:54:34,c1-video,video,http://127.0.0.1:8080/video/getDetail,0.00,0,1154.7992,0.0008,0.0011,0.0013,2000,0,on
2026-09-14T13:57:36,before-latest-zset,latest,http://127.0.0.1:8080/feed/listLatest,2.00,16001,3563.9608,0.0217,0.0326,0.0401,8000,0,on
2026-09-14T13:59:55,after-latest-zset,latest,http://127.0.0.1:8080/feed/listLatest,1.00,8000,4013.9724,0.0194,0.0311,0.0362,8000,0,on
2026-09-14T14:03:09,after-latest-1rtt,latest,http://127.0.0.1:8080/feed/listLatest,1.00,8000,4391.3607,0.0177,0.0304,0.0338,8000,0,on
2026-09-14T15:03:32,PROBE-no-islked-query,latest,http://127.0.0.1:8080/feed/listLatest,0.00,20,5194.1947,0.0149,0.0280,0.0403,8000,0,on
2026-09-14T16:42:46,before-mq-likecycle,like-mq,http://127.0.0.1:8080/like/like,5.50,341,61.1,0.0157,0.0192,0.0235,60,0,on
2026-09-14T17:05:52,after-mq-likecycle,like-mq,http://127.0.0.1:8080/like/like,2.00,341,52.2,0.0042,0.0049,0.0057,60,0,on
2026-09-14T17:38:00,before-mq-comment-publish,comment-mq,http://127.0.0.1:8080/comment/publish,5.00,100,4.5,0.0180,0.0203,,20,0,on
2026-09-14T17:32:00,after-mq-comment-publish,comment-mq,http://127.0.0.1:8080/comment/publish,2.00,120,5.3,0.0058,0.0064,,20,0,on
2026-09-14T17:38:00,before-mq-comment-delete,comment-mq,http://127.0.0.1:8080/comment/delete,3.00,60,4.8,0.0142,0.0151,,20,0,on
2026-09-14T17:32:00,after-mq-comment-delete,comment-mq,http://127.0.0.1:8080/comment/delete,1.00,180,5.3,0.0044,0.0049,,60,0,on
2026-09-14T17:32:00,before-mq-social-follow,social-mq,http://127.0.0.1:8080/social/follow,4.00,,,,,,0,0,on
2026-09-14T17:32:00,after-mq-social-follow,social-mq,http://127.0.0.1:8080/social/follow,4.00,60,5.0,0.0149,0.0159,,10,0,on
2026-09-14T17:32:00,before-mq-social-unfollow,social-mq,http://127.0.0.1:8080/social/unfollow,4.00,,,,,,0,0,on
2026-09-14T17:32:00,after-mq-social-unfollow,social-mq,http://127.0.0.1:8080/social/unfollow,4.00,50,5.0,0.0149,0.0159,,10,0,on
